Price,Close,Volume
Ticker,AAPL,AAPL
Date,,
2015-01-02,24.214893341064453,212818400
2015-01-05,23.532726287841797,257142000
2015-01-06,23.534934997558594,263188400
2015-01-07,23.86494255065918,160423600
2015-01-08,24.781892776489258,237458000
2015-01-09,24.808467864990234,214798000
2015-01-12,24.197172164916992,198603200
2015-01-13,24.412012100219727,268367600
2015-01-14,24.318988800048828,195826400
2015-01-15,23.658966064453125,240056000
2015-01-16,23.475126266479492,314053200
2015-01-20,24.079788208007812,199599600
2015-01-21,24.26361846923828,194303600
2015-01-22,24.894845962524414,215185600
2015-01-23,25.023313522338867,185859200
2015-01-26,25.049890518188477,222460000
2015-01-27,24.17281150817871,382274800
2015-01-28,25.539371490478516,585908400
2015-01-29,26.334501266479492,337745600
2015-01-30,25.94911766052246,334982000
2015-02-02,26.274690628051758,250956400
2015-02-03,26.279130935668945,207662800
2015-02-04,26.48067283630371,280598800
2015-02-05,26.669687271118164,168984800
2015-02-06,26.44509506225586,174826400
2015-02-09,26.62076759338379,155559200
2015-02-10,27.132190704345703,248034000
2015-02-11,27.768136978149414,294247200
2015-02-12,28.119464874267578,297898000
2015-02-13,28.257326126098633,217088800
2015-02-17,28.424091339111328,252609600
2015-02-18,28.621994018554688,179566800
2015-02-19,28.56195640563965,149449600
2015-02-20,28.79543113708496,195793600
2015-02-23,29.57369041442871,283896400
2015-02-24,29.389131546020508,276912400
2015-02-25,28.63755226135254,298846800
2015-02-26,29.0000057220459,365150000
2015-02-27,28.564180374145508,248059200
2015-03-02,28.704254150390625,192386800
2015-03-03,28.76429557800293,151265200
2015-03-04,28.581966400146484,126665200
2015-03-05,28.108346939086914,226068400
2015-03-06,28.15059471130371,291368400
2015-03-09,28.270660400390625,354114000
2015-03-10,27.68585968017578,275426400
2015-03-11,27.18110466003418,275756000
2015-03-12,27.67252540588379,193450800
2015-03-13,27.481292724609375,207309200
2015-03-16,27.78369140625,143497200
2015-03-17,28.24842071533203,204092400
2015-03-18,28.56640625,261083600
2015-03-19,28.350711822509766,183238000
2015-03-20,27.99493980407715,274780400
2015-03-23,28.286231994628906,150838800
2015-03-24,28.170604705810547,131369200
2015-03-25,27.434598922729492,206620800
2015-03-26,27.625823974609375,190291600
2015-03-27,27.405698776245117,158184800
2015-03-30,28.099458694458008,188398800
2015-03-31,27.668075561523438,168362400
2015-04-01,27.6280460357666,162485600
2015-04-02,27.8659725189209,128880400
2015-04-06,28.31736183166504,148776000
2015-04-07,28.019399642944336,140049200
2015-04-08,27.928234100341797,149316800
2015-04-09,28.14169692993164,129936000
2015-04-10,28.261770248413086,160752000
2015-04-13,28.206188201904297,145460400
2015-04-14,28.083885192871094,102098400
2015-04-15,28.190614700317383,115881600
2015-04-16,28.05497932434082,113476000
2015-04-17,27.73923110961914,207828000
2015-04-20,28.372947692871094,188217200
2015-04-21,28.219526290893555,129740400
2015-04-22,28.59975814819336,150618000
2015-04-23,28.833236694335938,183083600
2015-04-24,28.968873977661133,178103600
2015-04-27,29.495866775512695,387816800
2015-04-28,29.031124114990234,475696000
2015-04-29,28.60420036315918,253544400
2015-04-30,27.82817268371582,332781600
2015-05-01,28.67313575744629,234050400
2015-05-04,28.6175479888916,203953200
2015-05-05,27.972707748413086,197085600
2015-05-06,27.797040939331055,288564000
2015-05-07,27.96897315979004,175763600
2015-05-08,28.495929718017578,222201600
2015-05-11,28.205650329589844,168143200
2015-05-12,28.10517692565918,192640000
2015-05-13,28.136438369750977,138776800
2015-05-14,28.792911529541016,180814000
2015-05-15,28.752708435058594,152832000
2015-05-18,29.069780349731445,203531600
2015-05-19,29.04298973083496,178532800
2015-05-20,29.040748596191406,145819600
2015-05-21,29.337724685668945,158921600
2015-05-22,29.594493865966797,182384000
2015-05-26,28.9424991607666,282790400
2015-05-27,29.482858657836914,183332800
2015-05-28,29.4248046875,122933200
2015-05-29,29.089881896972656,203538000
2015-06-01,29.147932052612305,128451200
2015-06-02,29.018428802490234,134670400
2015-06-03,29.054149627685547,123934000
2015-06-04,28.884449005126953,153800400
2015-06-05,28.72591781616211,142507200
2015-06-08,28.536123275756836,210699200
2015-06-09,28.45127296447754,224301600
2015-06-10,28.777271270751953,156349200
2015-06-11,28.7125186920166,141563600
2015-06-12,28.395450592041016,147544800
2015-06-15,28.339624404907227,175955600
2015-06-16,28.4914608001709,125976400
2015-06-17,28.424480438232422,131672400
2015-06-18,28.55398941040039,141628800
2015-06-19,28.26817512512207,218867600
2015-06-22,28.493701934814453,136157200
2015-06-23,28.364192962646484,121075600
2015-06-24,28.605342864990234,221123600
2015-06-25,28.469135284423828,127752400
2015-06-26,28.301673889160156,176267200
2015-06-29,27.805971145629883,196645600
2015-06-30,28.006935119628906,177482800
2015-07-01,28.26817512512207,120955200
2015-07-02,28.232454299926758,108844000
2015-07-06,28.134204864501953,112241600
2015-07-07,28.06498908996582,187787200
2015-07-08,27.368328094482422,243046400
2015-07-09,26.81011390686035,314380000
2015-07-10,27.526859283447266,245418000
2015-07-13,28.05828857421875,165762000
2015-07-14,28.04712677001953,127072400
2015-07-15,28.31730079650879,134596800
2015-07-16,28.694658279418945,144889600
2015-07-17,28.9424991607666,184658800
2015-07-20,29.489559173583984,235600800
2015-07-21,29.1948184967041,307025600
2015-07-22,27.96004295349121,461802400
2015-07-23,27.94664764404297,203998000
2015-07-24,27.799274444580078,168649200
2015-07-27,27.412992477416992,177822000
2015-07-28,27.5491943359375,134472400
2015-07-29,27.462106704711914,148046800
2015-07-30,27.323678970336914,134513200
2015-07-31,27.08475112915039,171540000
2015-08-03,26.446157455444336,279904000
2015-08-04,25.597660064697266,496554400
2015-08-05,25.767366409301758,397250400
2015-08-06,25.82343101501465,211612000
2015-08-07,25.910911560058594,154681600
2015-08-10,26.85296630859375,219806400
2015-08-11,25.455585479736328,388331200
2015-08-12,25.848106384277344,404870000
2015-08-13,25.827922821044922,194143200
2015-08-14,26.00959587097168,171718000
2015-08-17,26.278764724731445,163538800
2015-08-18,26.130727767944336,138242800
2015-08-19,25.79652214050293,193146000
2015-08-20,25.267179489135742,274006400
2015-08-21,23.721765518188477,513102000
2015-08-24,23.129615783691406,648825200
2015-08-25,23.2686767578125,414406400
2015-08-26,24.603256225585938,387098400
2015-08-27,25.327741622924805,338464400
2015-08-28,25.410724639892578,212657600
2015-08-31,25.29184341430664,224917200
2015-09-01,24.161386489868164,307383600
2015-09-02,25.1976375579834,247555200
2015-09-03,24.755779266357422,212935600
2015-09-04,24.509044647216797,199985200
2015-09-08,25.190916061401367,219374400
2015-09-09,24.706430435180664,340043200
2015-09-10,25.249225616455078,251571200
2015-09-11,25.61707878112793,199662000
2015-09-14,25.86380958557129,233453600
2015-09-15,26.081375122070312,173364800
2015-09-16,26.11054039001465,148694000
2015-09-17,25.552034378051758,256450400
2015-09-18,25.446611404418945,297141200
2015-09-21,25.841381072998047,200888000
2015-09-22,25.43539810180664,201384800
2015-09-23,25.641752243041992,143026800
2015-09-24,25.79427719116211,200878000
2015-09-25,25.72922706604004,224607600
2015-09-28,25.22007179260254,208436000
2015-09-29,24.461944580078125,293461600
2015-09-30,24.740074157714844,265892000
2015-10-01,24.578580856323242,255716400
2015-10-02,24.75801658630371,232079200
2015-10-05,24.847740173339844,208258800
2015-10-06,24.966617584228516,192787200
2015-10-07,24.847740173339844,187062400
2015-10-08,24.560632705688477,247918400
2015-10-09,25.148303985595703,211064400
2015-10-12,25.031658172607422,121868800
2015-10-13,25.074277877807617,132197200
2015-10-14,24.719886779785156,177849600
2015-10-15,25.089975357055664,150694000
2015-10-16,24.90606117248535,156930400
2015-10-19,25.060823440551758,119036800
2015-10-20,25.518386840820312,195871200
2015-10-21,25.516145706176758,167180800
2015-10-22,25.906415939331055,166616400
2015-10-23,26.709415435791016,237467600
2015-10-26,25.857074737548828,265335200
2015-10-27,25.693340301513672,279537600
2015-10-28,26.752031326293945,342205600
2015-10-29,27.034639358520508,204909200
2015-10-30,26.803613662719727,197461200
2015-11-02,27.18044090270996,128813200
2015-11-03,27.49221420288086,182076000
2015-11-04,27.364368438720703,179544400
2015-11-05,27.238224029541016,158210800
2015-11-06,27.269752502441406,132169200
2015-11-09,27.159372329711914,135485600
2015-11-10,26.303386688232422,236511600
2015-11-11,26.154722213745117,180872000
2015-11-12,26.066871643066406,130102400
2015-11-13,25.305500030517578,183249600
2015-11-16,25.719970703125,152426800
2015-11-17,25.609596252441406,110467600
2015-11-18,26.420530319213867,186698800
2015-11-19,26.75616455078125,173183200
2015-11-20,26.873302459716797,137148400
2015-11-23,26.52414894104004,129930000
2015-11-24,26.778696060180664,171212800
2015-11-25,26.58721351623535,85553200
2015-11-27,26.53766441345215,52185600
2015-11-30,26.648042678833008,156721200
2015-12-01,26.43178939819336,139409600
2015-12-02,26.193017959594727,133546400
2015-12-03,25.94973373413086,166278000
2015-12-04,26.812475204467773,231108000
2015-12-07,26.643529891967773,128336800
2015-12-08,26.63227081298828,137238000
2015-12-09,26.04435157775879,185445600
2015-12-10,26.16823959350586,116850800
2015-12-11,25.494718551635742,187544800
2015-12-14,25.337039947509766,257274800
2015-12-15,24.88878059387207,213292400
2015-12-16,25.080242156982422,224954000
2015-12-17,24.548635482788086,179091200
2015-12-18,23.884122848510742,385813200
2015-12-21,24.176956176757812,190362400
2015-12-22,24.15443992614746,131157600
2015-12-23,24.465286254882812,130629600
2015-12-24,24.33464241027832,54281600
2015-12-28,24.062070846557617,106816800
2015-12-29,24.494569778442383,123724800
2015-12-30,24.174701690673828,100855200
2015-12-31,23.710674285888672,163649200
2016-01-04,23.730945587158203,270597600
2016-01-05,23.136266708374023,223164000
2016-01-06,22.68349266052246,273829600
2016-01-07,21.72614860534668,324377600
2016-01-08,21.841033935546875,283192000
2016-01-11,22.194690704345703,198957600
2016-01-12,22.51680564880371,196616800
2016-01-13,21.937898635864258,249758400
2016-01-14,22.41769027709961,252680400
2016-01-15,21.879329681396484,319335600
2016-01-19,21.773452758789062,212350800
2016-01-20,21.802736282348633,289337600
2016-01-21,21.69236183166504,208646000
2016-01-22,22.845680236816406,263202000
2016-01-25,22.39967918395996,207178000
2016-01-26,22.523561477661133,300308000
2016-01-27,21.043615341186523,533478800
2016-01-28,21.19454002380371,222715200
2016-01-29,21.92662811279297,257666000
2016-02-01,21.721643447875977,163774000
2016-02-02,21.28238868713379,149428800
2016-02-03,21.703624725341797,183857200
2016-02-04,21.87801170349121,185886800
2016-02-05,21.293691635131836,185672400
2016-02-08,21.51790428161621,216085600
2016-02-09,21.513383865356445,177324800
2016-02-10,21.350317001342773,169374400
2016-02-11,21.221221923828125,200298800
2016-02-12,21.286893844604492,161405600
2016-02-16,21.887067794799805,196231600
2016-02-17,22.222267150878906,179452800
2016-02-18,21.801010131835938,156084000
2016-02-19,21.751182556152344,141496800
2016-02-22,21.941429138183594,137123200
2016-02-23,21.445436477661133,127770400
2016-02-24,21.764772415161133,145022800
2016-02-25,21.914247512817383,110330800
2016-02-26,21.94822120666504,115964400
2016-02-29,21.898391723632812,140865200
2016-03-01,22.768081665039062,201628400
2016-03-02,22.817907333374023,132678400
2016-03-03,22.987768173217773,147822800
2016-03-04,23.329753875732422,184220400
2016-03-07,23.071565628051758,143315600
2016-03-08,22.881324768066406,126247600
2016-03-09,22.901702880859375,108806800
2016-03-10,22.913028717041016,134054400
2016-03-11,23.159896850585938,109632800
2016-03-14,23.21877670288086,100304400
2016-03-15,23.685331344604492,160270800
2016-03-16,24.000133514404297,153214000
2016-03-17,23.961641311645508,137682800
2016-03-18,23.98880958557129,176820800
2016-03-21,23.98654556274414,142010800
2016-03-22,24.170000076293945,129777600
2016-03-23,24.036375045776367,102814000
2016-03-24,23.93218994140625,104532000
2016-03-28,23.82347869873047,77645600
2016-03-29,24.387418746948242,124760400
2016-03-30,24.813196182250977,182404400
2016-03-31,24.68410873413086,103553600
2016-04-01,24.910585403442383,103496000
2016-04-04,25.1665096282959,149424800
2016-04-05,24.86981773376465,106314800
2016-04-06,25.130268096923828,105616400
2016-04-07,24.582189559936523,127207600
2016-04-08,24.60936737060547,94326800
2016-04-11,24.69090461730957,117630000
2016-04-12,25.01250457763672,108929200
2016-04-13,25.3748722076416,133029200
2016-04-14,25.388458251953125,101895600
2016-04-15,24.87888526916504,187756000
2016-04-18,24.342117309570312,243286000
2016-04-19,24.21302604675293,129539600
2016-04-20,24.26285171508789,122444000
2016-04-21,24.000133514404297,126210000
2016-04-22,23.93445587158203,134732400
2016-04-25,23.798564910888672,112126400
2016-04-26,23.633237838745117,224064800
2016-04-27,22.154314041137695,458408400
2016-04-28,21.47714614868164,328970800
2016-04-29,21.23027992248535,274126000
2016-05-02,21.207630157470703,192640400
2016-05-03,21.556406021118164,227325200
2016-05-04,21.332195281982422,164102000
2016-05-05,21.245603561401367,143562000
2016-05-06,21.127120971679688,174799600
2016-05-09,21.143075942993164,131745600
2016-05-10,21.286623001098633,134747200
2016-05-11,21.079267501831055,114876400
2016-05-12,20.584815979003906,305258800
2016-05-13,20.625831604003906,177571200
